marker,cyclone_id,forecast_time,horizon_h,member_count,estimator,predicted_vw_exposure,realized_vw_exposure,absolute_error,signed_error,exposure_ratio
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 18:00:00,6,51,P90 envelope,837584.5347155186,0.0,837584.5347155186,837584.5347155186,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-28 18:00:00,6,51,Ensemble probability-weighted,20487.256255170098,0.0,20487.256255170098,20487.256255170098,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 00:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 00:00:00,6,51,P90 envelope,575494.825743825,0.0,575494.825743825,575494.825743825,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 00:00:00,6,51,Ensemble probability-weighted,21306.10641391046,0.0,21306.10641391046,21306.10641391046,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 06:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 06:00:00,6,51,P90 envelope,846082.3218318111,0.0,846082.3218318111,846082.3218318111,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 06:00:00,6,51,Ensemble probability-weighted,23367.305117206644,0.0,23367.305117206644,23367.305117206644,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 12:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 12:00:00,6,51,P90 envelope,549263.4785949008,0.0,549263.4785949008,549263.4785949008,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 12:00:00,6,51,Ensemble probability-weighted,25801.12561822099,0.0,25801.12561822099,25801.12561822099,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 18:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 18:00:00,6,51,P90 envelope,640960.1949954552,0.0,640960.1949954552,640960.1949954552,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-29 18:00:00,6,51,Ensemble probability-weighted,31150.00858655122,0.0,31150.00858655122,31150.00858655122,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 00:00:00,6,51,Deterministic mean-track,122358.23223218536,0.0,122358.23223218536,122358.23223218536,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 00:00:00,6,51,P90 envelope,618657.8247062732,0.0,618657.8247062732,618657.8247062732,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 00:00:00,6,51,Ensemble probability-weighted,38204.264065704665,0.0,38204.264065704665,38204.264065704665,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 06:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 06:00:00,6,51,P90 envelope,984423.6985449651,0.0,984423.6985449651,984423.6985449651,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 06:00:00,6,51,Ensemble probability-weighted,64370.71758656123,0.0,64370.71758656123,64370.71758656123,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 12:00:00,6,49,Deterministic mean-track,185281.82786990766,185281.82786990766,0.0,0.0,1.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 12:00:00,6,49,P90 envelope,969921.4077341373,185281.82786990766,784639.5798642295,784639.5798642295,5.23484369128283
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 12:00:00,6,49,Ensemble probability-weighted,83888.53019484876,185281.82786990766,101393.2976750589,-101393.2976750589,0.4527617800367859
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 18:00:00,6,46,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 18:00:00,6,46,P90 envelope,1000690.2296889822,0.0,1000690.2296889822,1000690.2296889822,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-11-30 18:00:00,6,46,Ensemble probability-weighted,46614.075764131725,0.0,46614.075764131725,46614.075764131725,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 00:00:00,6,31,Deterministic mean-track,0.0,329342.8424064365,329342.8424064365,-329342.8424064365,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 00:00:00,6,31,P90 envelope,1075019.0128424494,329342.8424064365,745676.1704360128,745676.1704360128,3.264133524164422
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 00:00:00,6,31,Ensemble probability-weighted,104265.59990956027,329342.8424064365,225077.24249687622,-225077.24249687622,0.31658681010862183
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 06:00:00,6,24,Deterministic mean-track,0.0,329342.8424064365,329342.8424064365,-329342.8424064365,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 06:00:00,6,24,P90 envelope,811040.9904162693,329342.8424064365,481698.1480098328,481698.1480098328,2.462603967616752
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 06:00:00,6,24,Ensemble probability-weighted,91773.32065174606,329342.8424064365,237569.52175469045,-237569.52175469045,0.27865588327706886
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 12:00:00,6,9,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 12:00:00,6,9,P90 envelope,675000.9712971905,0.0,675000.9712971905,675000.9712971905,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 12:00:00,6,9,Ensemble probability-weighted,77767.38868291688,0.0,77767.38868291688,77767.38868291688,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 18:00:00,6,8,Deterministic mean-track,329342.8424064365,0.0,329342.8424064365,329342.8424064365,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 18:00:00,6,8,P90 envelope,1118725.8185445464,0.0,1118725.8185445464,1118725.8185445464,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-01 18:00:00,6,8,Ensemble probability-weighted,41167.855300804564,0.0,41167.855300804564,41167.855300804564,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-02 00:00:00,6,1,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-02 00:00:00,6,1,P90 envelope,136040.01911907873,0.0,136040.01911907873,136040.01911907873,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-02 00:00:00,6,1,Ensemble probability-weighted,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-02 06:00:00,6,2,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-02 06:00:00,6,2,P90 envelope,469234.56521824794,0.0,469234.56521824794,469234.56521824794,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-02 06:00:00,6,2,Ensemble probability-weighted,73956.35911463076,0.0,73956.35911463076,73956.35911463076,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-02 12:00:00,6,11,Deterministic mean-track,147912.71822926152,147912.71822926152,0.0,0.0,1.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-02 12:00:00,6,11,P90 envelope,455405.942520319,147912.71822926152,307493.2242910575,307493.2242910575,3.078882924823609
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DITWAH,2025-12-02 12:00:00,6,11,Ensemble probability-weighted,67233.05374057342,147912.71822926152,80679.6644886881,-80679.6644886881,0.4545454545454546
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DUDZAI,2026-01-15 06:00:00,6,51,Deterministic mean-track,0.0,18462.551823753238,18462.551823753238,-18462.551823753238,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DUDZAI,2026-01-15 06:00:00,6,51,P90 envelope,59599.849394273195,18462.551823753238,41137.29757051996,41137.29757051996,3.2281479810171327
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,DUDZAI,2026-01-15 06:00:00,6,51,Ensemble probability-weighted,4064.8686179797996,18462.551823753238,14397.68320577344,-14397.68320577344,0.22016829833620777
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-18 18:00:00,6,51,Deterministic mean-track,158906.65562162804,0.0,158906.65562162804,158906.65562162804,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-18 18:00:00,6,51,P90 envelope,1039838.7786817915,0.0,1039838.7786817915,1039838.7786817915,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-18 18:00:00,6,51,Ensemble probability-weighted,76773.28108326536,0.0,76773.28108326536,76773.28108326536,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 00:00:00,6,51,Deterministic mean-track,0.0,347071.22383291513,347071.22383291513,-347071.22383291513,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 00:00:00,6,51,P90 envelope,756517.5603597638,347071.22383291513,409446.33652684867,409446.33652684867,2.179718479697302
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 00:00:00,6,51,Ensemble probability-weighted,59526.80934759331,347071.22383291513,287544.41448532185,-287544.41448532185,0.17151179717581638
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 06:00:00,6,51,Deterministic mean-track,347071.22383291513,0.0,347071.22383291513,347071.22383291513,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 06:00:00,6,51,P90 envelope,976420.6500204254,0.0,976420.6500204254,976420.6500204254,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 06:00:00,6,51,Ensemble probability-weighted,57259.008770263885,0.0,57259.008770263885,57259.008770263885,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 12:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 12:00:00,6,51,P90 envelope,842614.1116156302,0.0,842614.1116156302,842614.1116156302,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 12:00:00,6,51,Ensemble probability-weighted,116191.77206321617,0.0,116191.77206321617,116191.77206321617,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 18:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 18:00:00,6,51,P90 envelope,877360.1782056302,0.0,877360.1782056302,877360.1782056302,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 18:00:00,6,51,Ensemble probability-weighted,51591.386388583865,0.0,51591.386388583865,51591.386388583865,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 00:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 00:00:00,6,51,P90 envelope,816383.3362996049,0.0,816383.3362996049,816383.3362996049,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 00:00:00,6,51,Ensemble probability-weighted,45711.151805861,0.0,45711.151805861,45711.151805861,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 06:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 06:00:00,6,51,P90 envelope,1238889.2738977326,0.0,1238889.2738977326,1238889.2738977326,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 06:00:00,6,51,Ensemble probability-weighted,29918.97109811991,0.0,29918.97109811991,29918.97109811991,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 12:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 12:00:00,6,51,P90 envelope,1160571.8197911407,0.0,1160571.8197911407,1160571.8197911407,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 12:00:00,6,51,Ensemble probability-weighted,90080.3598833144,0.0,90080.3598833144,90080.3598833144,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 18:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 18:00:00,6,51,P90 envelope,1047114.3491240253,0.0,1047114.3491240253,1047114.3491240253,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 18:00:00,6,51,Ensemble probability-weighted,75666.60851642901,0.0,75666.60851642901,75666.60851642901,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 00:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 00:00:00,6,51,P90 envelope,1193184.5108002939,0.0,1193184.5108002939,1193184.5108002939,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 00:00:00,6,51,Ensemble probability-weighted,103512.49739587595,0.0,103512.49739587595,103512.49739587595,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 06:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 06:00:00,6,51,P90 envelope,901700.5373683701,0.0,901700.5373683701,901700.5373683701,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 06:00:00,6,51,Ensemble probability-weighted,63301.57495206867,0.0,63301.57495206867,63301.57495206867,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 12:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 12:00:00,6,51,P90 envelope,850326.3442554022,0.0,850326.3442554022,850326.3442554022,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 12:00:00,6,51,Ensemble probability-weighted,62027.65678667871,0.0,62027.65678667871,62027.65678667871,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 18:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 18:00:00,6,51,P90 envelope,602409.4181297054,0.0,602409.4181297054,602409.4181297054,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 18:00:00,6,51,Ensemble probability-weighted,42771.33403716152,0.0,42771.33403716152,42771.33403716152,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 00:00:00,6,51,Deterministic mean-track,229977.19414770804,0.0,229977.19414770804,229977.19414770804,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 00:00:00,6,51,P90 envelope,630306.8204489957,0.0,630306.8204489957,630306.8204489957,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 00:00:00,6,51,Ensemble probability-weighted,92228.74099518487,0.0,92228.74099518487,92228.74099518487,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 06:00:00,6,51,Deterministic mean-track,158906.65562162804,158906.65562162804,0.0,0.0,1.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 06:00:00,6,51,P90 envelope,645969.8371206434,158906.65562162804,487063.1814990153,487063.1814990153,4.065089876781243
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 06:00:00,6,51,Ensemble probability-weighted,56235.737694487674,158906.65562162804,102670.91792714037,-102670.91792714037,0.35389164459159184
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 12:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 12:00:00,6,51,P90 envelope,664274.3704330373,0.0,664274.3704330373,664274.3704330373,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 12:00:00,6,51,Ensemble probability-weighted,60654.99541136154,0.0,60654.99541136154,60654.99541136154,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 18:00:00,6,51,Deterministic mean-track,312834.6942892913,312834.6942892913,0.0,0.0,1.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 18:00:00,6,51,P90 envelope,842252.6914680736,312834.6942892913,529417.9971787824,529417.9971787824,2.692325074050794
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 18:00:00,6,51,Ensemble probability-weighted,88534.99576669677,312834.6942892913,224299.69852259452,-224299.69852259452,0.2830088777967343
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 00:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 00:00:00,6,51,P90 envelope,813695.313895721,0.0,813695.313895721,813695.313895721,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 00:00:00,6,51,Ensemble probability-weighted,45059.96652438083,0.0,45059.96652438083,45059.96652438083,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 06:00:00,6,51,Deterministic mean-track,266153.1314903576,266153.1314903576,0.0,0.0,1.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 06:00:00,6,51,P90 envelope,1119379.794924977,266153.1314903576,853226.6634346193,853226.6634346193,4.205773528407764
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 06:00:00,6,51,Ensemble probability-weighted,92670.2312480849,266153.1314903576,173482.9002422727,-173482.9002422727,0.34818388470263867
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 12:00:00,6,51,Deterministic mean-track,266153.1314903576,0.0,266153.1314903576,266153.1314903576,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 12:00:00,6,51,P90 envelope,1230268.9842457091,0.0,1230268.9842457091,1230268.9842457091,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 12:00:00,6,51,Ensemble probability-weighted,100866.49445892838,0.0,100866.49445892838,100866.49445892838,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 18:00:00,6,51,Deterministic mean-track,0.0,370519.5495844955,370519.5495844955,-370519.5495844955,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 18:00:00,6,51,P90 envelope,1344896.4375050464,370519.5495844955,974376.8879205509,974376.8879205509,3.629758373109401
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 18:00:00,6,51,Ensemble probability-weighted,39122.82719678068,370519.5495844955,331396.7223877148,-331396.7223877148,0.10558910384257303
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 00:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 00:00:00,6,51,P90 envelope,1311802.4039192863,0.0,1311802.4039192863,1311802.4039192863,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 00:00:00,6,51,Ensemble probability-weighted,110677.7327709433,0.0,110677.7327709433,110677.7327709433,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 06:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 06:00:00,6,51,P90 envelope,1525042.8082957189,0.0,1525042.8082957189,1525042.8082957189,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 06:00:00,6,51,Ensemble probability-weighted,140183.1899067698,0.0,140183.1899067698,140183.1899067698,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 12:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 12:00:00,6,51,P90 envelope,1334629.834695664,0.0,1334629.834695664,1334629.834695664,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 12:00:00,6,51,Ensemble probability-weighted,75773.21792682026,0.0,75773.21792682026,75773.21792682026,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 18:00:00,6,51,Deterministic mean-track,439708.0020425015,116553.95411257951,323154.047929922,323154.047929922,3.7725704407916303
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 18:00:00,6,51,P90 envelope,1438774.4892788858,116553.95411257951,1322220.5351663062,1322220.5351663062,12.344278666763831
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 18:00:00,6,51,Ensemble probability-weighted,124771.45067275026,116553.95411257951,8217.496560170752,8217.496560170752,1.070503799058018
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-25 00:00:00,6,51,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-25 00:00:00,6,51,P90 envelope,1485076.9163037671,0.0,1485076.9163037671,1485076.9163037671,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-25 00:00:00,6,51,Ensemble probability-weighted,102214.85684731512,0.0,102214.85684731512,102214.85684731512,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-05 18:00:00,6,50,Deterministic mean-track,0.0,0.0,0.0,0.0,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-05 18:00:00,6,50,P90 envelope,189192.84962979515,0.0,189192.84962979515,189192.84962979515,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-05 18:00:00,6,50,Ensemble probability-weighted,3360.2964818690702,0.0,3360.2964818690702,3360.2964818690702,
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-06 00:00:00,6,50,Deterministic mean-track,23863.725365748483,23863.725365748483,0.0,0.0,1.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-06 00:00:00,6,50,P90 envelope,210207.56434132293,23863.725365748483,186343.83897557444,186343.83897557444,8.808665081397269
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-06 00:00:00,6,50,Ensemble probability-weighted,2443.550616944649,23863.725365748483,21420.174748803835,-21420.174748803835,0.10239602490782383
