split,group_key,storm_id,storm_name,year,basin,source,n_observations,n_era5_observations
train,AL|1985|UNNAMED,AL141985,UNNAMED,1985,AL,hurdat2,10,0
train,AL|1985|FABIAN,AL081985,FABIAN,1985,AL,hurdat2,16,7
train,AL|1985|GLORIA,AL091985,GLORIA,1985,AL,hurdat2,65,0
train,AL|1985|ISABEL,AL111985,ISABEL,1985,AL,hurdat2,36,0
train,AL|1985|KATE,AL131985,KATE,1985,AL,hurdat2,34,0
train,AL|1986|BONNIE,AL021986,BONNIE,1986,AL,hurdat2,21,0
train,AL|1986|UNNAMED,AL031986,UNNAMED,1986,AL,hurdat2,21,0
train,AL|1986|UNNAMED,AL041986,UNNAMED,1986,AL,hurdat2,7,0
train,AL|1986|UNNAMED,AL061986,UNNAMED,1986,AL,hurdat2,21,0
train,AL|1986|UNNAMED,AL071986,UNNAMED,1986,AL,hurdat2,13,0
train,AL|1986|CHARLEY,AL051986,CHARLEY,1986,AL,hurdat2,68,0
train,AL|1986|EARL,AL091986,EARL,1986,AL,hurdat2,38,0
train,AL|1986|FRANCES,AL101986,FRANCES,1986,AL,hurdat2,13,0
train,AL|1987|ARLENE,AL021987,ARLENE,1987,AL,hurdat2,81,0
train,AL|1987|BRET,AL051987,BRET,1987,AL,hurdat2,26,0
train,AL|1987|CINDY,AL071987,CINDY,1987,AL,hurdat2,22,0
train,AL|1987|DENNIS,AL101987,DENNIS,1987,AL,hurdat2,49,0
train,AL|1987|EMILY,AL121987,EMILY,1987,AL,hurdat2,30,0
train,AL|1987|FLOYD,AL131987,FLOYD,1987,AL,hurdat2,21,0
train,AL|1988|ALBERTO,AL011988,ALBERTO,1988,AL,hurdat2,13,0
train,AL|1988|BERYL,AL021988,BERYL,1988,AL,hurdat2,12,0
train,AL|1988|UNNAMED,AL061988,UNNAMED,1988,AL,hurdat2,13,0
train,AL|1988|UNNAMED,AL131988,UNNAMED,1988,AL,hurdat2,9,0
train,AL|1988|UNNAMED,AL141988,UNNAMED,1988,AL,hurdat2,7,0
train,AL|1988|UNNAMED,AL151988,UNNAMED,1988,AL,hurdat2,45,0
train,AL|1988|UNNAMED,AL161988,UNNAMED,1988,AL,hurdat2,16,0
train,AL|1988|UNNAMED,AL181988,UNNAMED,1988,AL,hurdat2,6,0
train,AL|1988|UNNAMED,AL191988,UNNAMED,1988,AL,hurdat2,9,0
train,AL|1988|FLORENCE,AL071988,FLORENCE,1988,AL,hurdat2,20,0
train,AL|1988|GILBERT,AL081988,GILBERT,1988,AL,hurdat2,49,0
train,AL|1988|HELENE,AL091988,HELENE,1988,AL,hurdat2,44,0
train,AL|1988|JOAN,AL111988,JOAN,1988,AL,hurdat2,53,0
train,AL|1989|UNNAMED,AL011989,UNNAMED,1989,AL,hurdat2,7,0
train,AL|1989|UNNAMED,AL061989,UNNAMED,1989,AL,hurdat2,36,0
train,AL|1989|UNNAMED,AL091989,UNNAMED,1989,AL,hurdat2,6,0
train,AL|1989|UNNAMED,AL131989,UNNAMED,1989,AL,hurdat2,15,0
train,AL|1989|ALLISON,AL021989,ALLISON,1989,AL,hurdat2,29,0
train,AL|1989|BARRY,AL031989,BARRY,1989,AL,hurdat2,18,0
train,AL|1989|CHANTAL,AL041989,CHANTAL,1989,AL,hurdat2,16,0
train,AL|1989|DEAN,AL051989,DEAN,1989,AL,hurdat2,38,0
train,AL|1989|FELIX,AL081989,FELIX,1989,AL,hurdat2,63,0
train,AL|1989|GABRIELLE,AL101989,GABRIELLE,1989,AL,hurdat2,58,0
train,AL|1989|JERRY,AL141989,JERRY,1989,AL,hurdat2,20,0
train,AL|1989|KAREN,AL151989,KAREN,1989,AL,hurdat2,24,0
train,AL|1990|UNNAMED,AL011990,UNNAMED,1990,AL,hurdat2,7,0
train,AL|1990|UNNAMED,AL111990,UNNAMED,1990,AL,hurdat2,37,0
train,AL|1990|ARTHUR,AL021990,ARTHUR,1990,AL,hurdat2,22,0
train,AL|1990|BERTHA,AL031990,BERTHA,1990,AL,hurdat2,37,0
train,AL|1990|CESAR,AL041990,CESAR,1990,AL,hurdat2,31,0
train,AL|1990|EDOUARD,AL061990,EDOUARD,1990,AL,hurdat2,44,0
train,AL|1990|FRAN,AL071990,FRAN,1990,AL,hurdat2,13,0
train,AL|1990|GUSTAV,AL081990,GUSTAV,1990,AL,hurdat2,41,0
train,AL|1990|HORTENSE,AL091990,HORTENSE,1990,AL,hurdat2,26,0
train,AL|1990|ISIDORE,AL101990,ISIDORE,1990,AL,hurdat2,55,0
train,AL|1990|JOSEPHINE,AL121990,JOSEPHINE,1990,AL,hurdat2,62,0
train,AL|1990|KLAUS,AL131990,KLAUS,1990,AL,hurdat2,25,0
train,AL|1990|LILI,AL141990,LILI,1990,AL,hurdat2,38,0
train,AL|1990|NANA,AL161990,NANA,1990,AL,hurdat2,23,0
train,AL|1991|ANA,AL011991,ANA,1991,AL,hurdat2,25,0
train,AL|1991|UNNAMED,AL021991,UNNAMED,1991,AL,hurdat2,6,0
train,AL|1991|UNNAMED,AL041991,UNNAMED,1991,AL,hurdat2,7,0
train,AL|1991|UNNAMED,AL051991,UNNAMED,1991,AL,hurdat2,13,0
train,AL|1991|UNNAMED,AL101991,UNNAMED,1991,AL,hurdat2,5,0
train,AL|1991|UNNAMED,AL121991,UNNAMED,1991,AL,hurdat2,22,0
train,AL|1991|CLAUDETTE,AL061991,CLAUDETTE,1991,AL,hurdat2,43,0
train,AL|1991|DANNY,AL071991,DANNY,1991,AL,hurdat2,19,0
train,AL|1991|ERIKA,AL081991,ERIKA,1991,AL,hurdat2,18,0
train,AL|1992|UNNAMED,AL011992,UNNAMED,1992,AL,hurdat2,14,0
train,AL|1992|UNNAMED,AL021992,UNNAMED,1992,AL,hurdat2,5,0
train,AL|1992|UNNAMED,AL031992,UNNAMED,1992,AL,hurdat2,8,0
train,AL|1992|UNNAMED,AL081992,UNNAMED,1992,AL,hurdat2,25,0
train,AL|1992|ANDREW,AL041992,ANDREW,1992,AL,hurdat2,52,0
train,AL|1992|BONNIE,AL051992,BONNIE,1992,AL,hurdat2,61,0
train,AL|1992|CHARLEY,AL061992,CHARLEY,1992,AL,hurdat2,30,0
train,AL|1992|EARL,AL091992,EARL,1992,AL,hurdat2,29,0
train,AL|1992|FRANCES,AL101992,FRANCES,1992,AL,hurdat2,31,0
train,AL|1993|UNNAMED,AL011993,UNNAMED,1993,AL,hurdat2,11,0
train,AL|1993|UNNAMED,AL101993,UNNAMED,1993,AL,hurdat2,5,0
train,AL|1993|ARLENE,AL021993,ARLENE,1993,AL,hurdat2,15,0
train,AL|1993|BRET,AL031993,BRET,1993,AL,hurdat2,33,0
train,AL|1993|CINDY,AL041993,CINDY,1993,AL,hurdat2,12,0
train,AL|1993|EMILY,AL051993,EMILY,1993,AL,hurdat2,61,0
train,AL|1993|DENNIS,AL061993,DENNIS,1993,AL,hurdat2,21,0
train,AL|1993|FLOYD,AL071993,FLOYD,1993,AL,hurdat2,23,0
train,AL|1993|GERT,AL081993,GERT,1993,AL,hurdat2,30,0
train,AL|1993|HARVEY,AL091993,HARVEY,1993,AL,hurdat2,13,0
train,AL|1994|ALBERTO,AL011994,ALBERTO,1994,AL,hurdat2,32,0
train,AL|1994|BERYL,AL031994,BERYL,1994,AL,hurdat2,20,0
train,AL|1994|DEBBY,AL061994,DEBBY,1994,AL,hurdat2,8,0
train,AL|1994|ERNESTO,AL071994,ERNESTO,1994,AL,hurdat2,18,0
train,AL|1994|FLORENCE,AL111994,FLORENCE,1994,AL,hurdat2,28,0
train,AL|1994|GORDON,AL121994,GORDON,1994,AL,hurdat2,59,0
train,AL|1995|ALLISON,AL011995,ALLISON,1995,AL,hurdat2,35,0
train,AL|1995|CHANTAL,AL031995,CHANTAL,1995,AL,hurdat2,41,0
train,AL|1995|DEAN,AL041995,DEAN,1995,AL,hurdat2,22,0
train,AL|1995|ERIN,AL051995,ERIN,1995,AL,hurdat2,30,0
train,AL|1995|UNNAMED,AL061995,UNNAMED,1995,AL,hurdat2,9,0
train,AL|1995|UNNAMED,AL141995,UNNAMED,1995,AL,hurdat2,17,0
train,AL|1995|FELIX,AL071995,FELIX,1995,AL,hurdat2,69,0
train,AL|1995|GABRIELLE,AL081995,GABRIELLE,1995,AL,hurdat2,11,0
train,AL|1995|HUMBERTO,AL091995,HUMBERTO,1995,AL,hurdat2,41,0
train,AL|1995|JERRY,AL111995,JERRY,1995,AL,hurdat2,22,0
train,AL|1995|KAREN,AL121995,KAREN,1995,AL,hurdat2,31,0
train,AL|1995|LUIS,AL131995,LUIS,1995,AL,hurdat2,61,0
train,AL|1995|MARILYN,AL151995,MARILYN,1995,AL,hurdat2,79,0
train,AL|1995|NOEL,AL161995,NOEL,1995,AL,hurdat2,45,0
train,AL|1995|OPAL,AL171995,OPAL,1995,AL,hurdat2,39,0
train,AL|1995|PABLO,AL181995,PABLO,1995,AL,hurdat2,16,0
train,AL|1995|ROXANNE,AL191995,ROXANNE,1995,AL,hurdat2,56,0
train,AL|1995|SEBASTIEN,AL201995,SEBASTIEN,1995,AL,hurdat2,19,0
train,AL|1996|ARTHUR,AL011996,ARTHUR,1996,AL,hurdat2,22,0
train,AL|1996|BERTHA,AL021996,BERTHA,1996,AL,hurdat2,51,0
train,AL|1996|DOLLY,AL041996,DOLLY,1996,AL,hurdat2,25,0
train,AL|1996|EDOUARD,AL051996,EDOUARD,1996,AL,hurdat2,73,0
train,AL|1996|FRAN,AL061996,FRAN,1996,AL,hurdat2,72,0
train,AL|1996|GUSTAV,AL071996,GUSTAV,1996,AL,hurdat2,29,0
train,AL|1996|HORTENSE,AL081996,HORTENSE,1996,AL,hurdat2,53,0
train,AL|1996|JOSEPHINE,AL101996,JOSEPHINE,1996,AL,hurdat2,47,0
train,AL|1997|UNNAMED,AL011997,UNNAMED,1997,AL,hurdat2,9,0
train,AL|1997|UNNAMED,AL061997,UNNAMED,1997,AL,hurdat2,8,0
train,AL|1997|ANA,AL021997,ANA,1997,AL,hurdat2,19,0
train,AL|1997|CLAUDETTE,AL041997,CLAUDETTE,1997,AL,hurdat2,16,0
train,AL|1997|ERIKA,AL071997,ERIKA,1997,AL,hurdat2,67,0
train,AL|1997|FABIAN,AL081997,FABIAN,1997,AL,hurdat2,17,6
train,AL|1997|GRACE,AL091997,GRACE,1997,AL,hurdat2,13,0
train,AL|1998|ALEX,AL011998,ALEX,1998,AL,hurdat2,26,0
train,AL|1998|BONNIE,AL021998,BONNIE,1998,AL,hurdat2,49,0
train,AL|1998|CHARLEY,AL031998,CHARLEY,1998,AL,hurdat2,13,0
train,AL|1998|DANIELLE,AL041998,DANIELLE,1998,AL,hurdat2,61,0
train,AL|1998|EARL,AL051998,EARL,1998,AL,hurdat2,33,0
train,AL|1998|FRANCES,AL061998,FRANCES,1998,AL,hurdat2,21,0
train,AL|1998|GEORGES,AL071998,GEORGES,1998,AL,hurdat2,71,0
train,AL|1998|HERMINE,AL081998,HERMINE,1998,AL,hurdat2,15,0
train,AL|1998|IVAN,AL091998,IVAN,1998,AL,hurdat2,36,0
train,AL|1998|JEANNE,AL101998,JEANNE,1998,AL,hurdat2,54,0
train,AL|1998|KARL,AL111998,KARL,1998,AL,hurdat2,26,0
train,AL|1998|LISA,AL121998,LISA,1998,AL,hurdat2,21,0
train,AL|1998|NICOLE,AL141998,NICOLE,1998,AL,hurdat2,35,0
train,AL|1999|ARLENE,AL011999,ARLENE,1999,AL,hurdat2,26,0
train,AL|1999|UNNAMED,AL021999,UNNAMED,1999,AL,hurdat2,4,0
train,AL|1999|UNNAMED,AL071999,UNNAMED,1999,AL,hurdat2,8,0
train,AL|1999|UNNAMED,AL111999,UNNAMED,1999,AL,hurdat2,10,0
train,AL|1999|UNNAMED,AL121999,UNNAMED,1999,AL,hurdat2,12,0
train,AL|1999|BRET,AL031999,BRET,1999,AL,hurdat2,26,0
train,AL|1999|CINDY,AL041999,CINDY,1999,AL,hurdat2,51,0
train,AL|1999|EMILY,AL061999,EMILY,1999,AL,hurdat2,18,0
train,AL|1999|FLOYD,AL081999,FLOYD,1999,AL,hurdat2,50,0
train,AL|1999|GERT,AL091999,GERT,1999,AL,hurdat2,49,0
train,AL|1999|HARVEY,AL101999,HARVEY,1999,AL,hurdat2,14,0
train,AL|1999|JOSE,AL141999,JOSE,1999,AL,hurdat2,34,0
train,AL|1999|KATRINA,AL151999,KATRINA,1999,AL,hurdat2,16,0
train,AL|1999|LENNY,AL161999,LENNY,1999,AL,hurdat2,39,0
train,AL|2000|UNNAMED,AL012000,UNNAMED,2000,AL,hurdat2,4,0
train,AL|2000|UNNAMED,AL022000,UNNAMED,2000,AL,hurdat2,12,0
train,AL|2000|UNNAMED,AL042000,UNNAMED,2000,AL,hurdat2,13,0
train,AL|2000|UNNAMED,AL092000,UNNAMED,2000,AL,hurdat2,6,0
train,AL|2000|UNNAMED,AL192000,UNNAMED,2000,AL,hurdat2,20,0
train,AL|2000|ALBERTO,AL032000,ALBERTO,2000,AL,hurdat2,87,0
train,AL|2000|BERYL,AL052000,BERYL,2000,AL,hurdat2,9,0
train,AL|2000|CHRIS,AL062000,CHRIS,2000,AL,hurdat2,9,0
train,AL|2000|DEBBY,AL072000,DEBBY,2000,AL,hurdat2,23,0
train,AL|2000|ERNESTO,AL082000,ERNESTO,2000,AL,hurdat2,10,0
train,AL|2000|FLORENCE,AL102000,FLORENCE,2000,AL,hurdat2,29,0
train,AL|2000|HELENE,AL122000,HELENE,2000,AL,hurdat2,42,0
train,AL|2000|JOYCE,AL142000,JOYCE,2000,AL,hurdat2,28,0
train,AL|2000|KEITH,AL152000,KEITH,2000,AL,hurdat2,35,0
train,AL|2000|LESLIE,AL162000,LESLIE,2000,AL,hurdat2,26,0
train,AL|2000|MICHAEL,AL172000,MICHAEL,2000,AL,hurdat2,22,0
train,AL|2000|NADINE,AL182000,NADINE,2000,AL,hurdat2,13,0
train,AL|2001|ALLISON,AL012001,ALLISON,2001,AL,hurdat2,57,0
train,AL|2001|UNNAMED,AL022001,UNNAMED,2001,AL,hurdat2,5,0
train,AL|2001|UNNAMED,AL092001,UNNAMED,2001,AL,hurdat2,4,0
train,AL|2001|BARRY,AL032001,BARRY,2001,AL,hurdat2,25,0
train,AL|2001|CHANTAL,AL042001,CHANTAL,2001,AL,hurdat2,33,0
train,AL|2001|DEAN,AL052001,DEAN,2001,AL,hurdat2,29,0
train,AL|2001|FELIX,AL072001,FELIX,2001,AL,hurdat2,46,0
train,AL|2001|HUMBERTO,AL102001,HUMBERTO,2001,AL,hurdat2,26,0
train,AL|2001|IRIS,AL112001,IRIS,2001,AL,hurdat2,22,0
train,AL|2001|JERRY,AL122001,JERRY,2001,AL,hurdat2,10,0
train,AL|2001|KAREN,AL132001,KAREN,2001,AL,hurdat2,19,0
train,AL|2001|LORENZO,AL142001,LORENZO,2001,AL,hurdat2,16,0
train,AL|2001|NOEL,AL162001,NOEL,2001,AL,hurdat2,12,0
train,AL|2002|ARTHUR,AL012002,ARTHUR,2002,AL,hurdat2,20,0
train,AL|2002|BERTHA,AL022002,BERTHA,2002,AL,hurdat2,23,0
train,AL|2002|CRISTOBAL,AL032002,CRISTOBAL,2002,AL,hurdat2,13,0
train,AL|2002|DOLLY,AL042002,DOLLY,2002,AL,hurdat2,26,0
train,AL|2002|FAY,AL062002,FAY,2002,AL,hurdat2,23,0
train,AL|2002|UNNAMED,AL072002,UNNAMED,2002,AL,hurdat2,5,0
train,AL|2002|UNNAMED,AL142002,UNNAMED,2002,AL,hurdat2,11,0
train,AL|2002|GUSTAV,AL082002,GUSTAV,2002,AL,hurdat2,30,0
train,AL|2002|HANNA,AL092002,HANNA,2002,AL,hurdat2,17,0
train,AL|2002|ISIDORE,AL102002,ISIDORE,2002,AL,hurdat2,55,0
train,AL|2002|JOSEPHINE,AL112002,JOSEPHINE,2002,AL,hurdat2,9,0
train,AL|2002|KYLE,AL122002,KYLE,2002,AL,hurdat2,90,0
train,AL|2003|ANA,AL012003,ANA,2003,AL,hurdat2,39,0
train,AL|2003|UNNAMED,AL022003,UNNAMED,2003,AL,hurdat2,4,0
train,AL|2003|UNNAMED,AL062003,UNNAMED,2003,AL,hurdat2,8,0
train,AL|2003|UNNAMED,AL072003,UNNAMED,2003,AL,hurdat2,7,0
train,AL|2003|UNNAMED,AL092003,UNNAMED,2003,AL,hurdat2,4,0
train,AL|2003|UNNAMED,AL142003,UNNAMED,2003,AL,hurdat2,10,0
train,AL|2003|BILL,AL032003,BILL,2003,AL,hurdat2,21,0
train,AL|2003|CLAUDETTE,AL042003,CLAUDETTE,2003,AL,hurdat2,45,0
train,AL|2003|DANNY,AL052003,DANNY,2003,AL,hurdat2,44,0
train,AL|2003|ERIKA,AL082003,ERIKA,2003,AL,hurdat2,11,0
train,AL|2003|FABIAN,AL102003,FABIAN,2003,AL,hurdat2,53,13
train,AL|2003|GRACE,AL112003,GRACE,2003,AL,hurdat2,13,0
train,AL|2003|HENRI,AL122003,HENRI,2003,AL,hurdat2,22,0
train,AL|2003|ISABEL,AL132003,ISABEL,2003,AL,hurdat2,58,0
train,AL|2003|JUAN,AL152003,JUAN,2003,AL,hurdat2,22,0
train,AL|2003|KATE,AL162003,KATE,2003,AL,hurdat2,58,0
train,AL|2003|LARRY,AL172003,LARRY,2003,AL,hurdat2,42,0
train,AL|2003|MINDY,AL182003,MINDY,2003,AL,hurdat2,14,0
train,AL|2003|NICHOLAS,AL192003,NICHOLAS,2003,AL,hurdat2,80,0
train,AL|2003|PETER,AL212003,PETER,2003,AL,hurdat2,15,0
train,AL|2004|ALEX,AL012004,ALEX,2004,AL,hurdat2,25,0
train,AL|2004|BONNIE,AL022004,BONNIE,2004,AL,hurdat2,44,0
train,AL|2004|CHARLEY,AL032004,CHARLEY,2004,AL,hurdat2,30,0
train,AL|2004|DANIELLE,AL042004,DANIELLE,2004,AL,hurdat2,46,0
train,AL|2004|EARL,AL052004,EARL,2004,AL,hurdat2,9,0
train,AL|2004|FRANCES,AL062004,FRANCES,2004,AL,hurdat2,75,0
train,AL|2004|HERMINE,AL082004,HERMINE,2004,AL,hurdat2,16,0
train,AL|2004|IVAN,AL092004,IVAN,2004,AL,hurdat2,94,0
train,AL|2004|JEANNE,AL112004,JEANNE,2004,AL,hurdat2,69,0
train,AL|2004|KARL,AL122004,KARL,2004,AL,hurdat2,48,0
train,AL|2004|MATTHEW,AL142004,MATTHEW,2004,AL,hurdat2,13,0
train,AL|2004|OTTO,AL162004,OTTO,2004,AL,hurdat2,39,0
train,AL|2005|ARLENE,AL012005,ARLENE,2005,AL,hurdat2,26,0
train,AL|2005|BRET,AL022005,BRET,2005,AL,hurdat2,7,0
train,AL|2005|CINDY,AL032005,CINDY,2005,AL,hurdat2,34,0
train,AL|2005|DENNIS,AL042005,DENNIS,2005,AL,hurdat2,59,0
train,AL|2005|EMILY,AL052005,EMILY,2005,AL,hurdat2,45,0
train,AL|2005|FRANKLIN,AL062005,FRANKLIN,2005,AL,hurdat2,38,0
train,AL|2005|HARVEY,AL082005,HARVEY,2005,AL,hurdat2,46,0
train,AL|2005|TEN,AL102005,TEN,2005,AL,hurdat2,21,0
train,AL|2005|KATRINA,AL122005,KATRINA,2005,AL,hurdat2,34,0
train,AL|2005|LEE,AL132005,LEE,2005,AL,hurdat2,26,0
train,AL|2005|MARIA,AL142005,MARIA,2005,AL,hurdat2,51,0
train,AL|2005|NATE,AL152005,NATE,2005,AL,hurdat2,29,0
train,AL|2005|PHILIPPE,AL172005,PHILIPPE,2005,AL,hurdat2,28,0
train,AL|2005|RITA,AL182005,RITA,2005,AL,hurdat2,36,0
train,AL|2005|STAN,AL202005,STAN,2005,AL,hurdat2,17,0
train,AL|2005|TAMMY,AL222005,TAMMY,2005,AL,hurdat2,9,0
train,AL|2005|TWENTY-TWO,AL232005,TWENTY-TWO,2005,AL,hurdat2,27,0
train,AL|2005|VINCE,AL242005,VINCE,2005,AL,hurdat2,15,0
train,AL|2005|WILMA,AL252005,WILMA,2005,AL,hurdat2,48,0
train,AL|2005|ALPHA,AL262005,ALPHA,2005,AL,hurdat2,11,0
train,AL|2005|BETA,AL272005,BETA,2005,AL,hurdat2,18,0
train,AL|2005|GAMMA,AL282005,GAMMA,2005,AL,hurdat2,33,0
train,AL|2005|DELTA,AL292005,DELTA,2005,AL,hurdat2,42,0
train,AL|2005|EPSILON,AL302005,EPSILON,2005,AL,hurdat2,43,0
train,AL|2006|ALBERTO,AL012006,ALBERTO,2006,AL,hurdat2,38,0
train,AL|2006|UNNAMED,AL022006,UNNAMED,2006,AL,hurdat2,13,0
train,AL|2006|CHRIS,AL042006,CHRIS,2006,AL,hurdat2,23,0
val,AL|1980|DANIELLE,AL111980,DANIELLE,1980,AL,hurdat2,12,0
val,AL|1980|FRANCES,AL121980,FRANCES,1980,AL,hurdat2,61,0
val,AL|1980|HERMINE,AL131980,HERMINE,1980,AL,hurdat2,23,0
val,AL|1980|JEANNE,AL161980,JEANNE,1980,AL,hurdat2,35,0
val,AL|1981|EMILY,AL131981,EMILY,1981,AL,hurdat2,47,0
val,AL|1982|BERYL,AL031982,BERYL,1982,AL,hurdat2,37,0
val,AL|1983|DEAN,AL061983,DEAN,1983,AL,hurdat2,17,0
val,AL|1984|HORTENSE,AL141984,HORTENSE,1984,AL,hurdat2,40,0
val,AL|1984|KLAUS,AL181984,KLAUS,1984,AL,hurdat2,33,0
val,AL|1984|LILI,AL201984,LILI,1984,AL,hurdat2,49,0
val,AL|1985|HENRI,AL101985,HENRI,1985,AL,hurdat2,15,0
val,AL|1985|JUAN,AL121985,JUAN,1985,AL,hurdat2,29,0
val,AL|1986|ANDREW,AL011986,ANDREW,1986,AL,hurdat2,16,0
val,AL|1986|DANIELLE,AL081986,DANIELLE,1986,AL,hurdat2,14,0
